Time,Type,Amount,Symbol
2026-03-09 12:00:01,Funding fee,-0.19199746 USDT,MANTRAUSDT
2026-03-09 11:00:01,Funding fee,-0.03554970 USDT,MANTRAUSDT
2026-03-09 10:00:00,Funding fee,-0.18822100 USDT,MANTRAUSDT
2026-03-09 09:00:00,Funding fee,-0.25368671 USDT,MANTRAUSDT
2026-03-09 09:00:00,Funding fee,-3.20637648 USDT,BARDUSDT
2026-03-09 08:00:00,Funding fee,-0.34877488 USDT,MANTRAUSDT
2026-03-09 07:00:00,Funding fee,-0.38333238 USDT,MANTRAUSDT
2026-03-09 06:00:00,Funding fee,-0.36313505 USDT,MANTRAUSDT
2026-03-09 05:00:00,Funding fee,-0.38390455 USDT,MANTRAUSDT
2026-03-09 05:00:00,Funding fee,-2.32794279 USDT,BARDUSDT
2026-03-09 04:00:00,Funding fee,-0.40671664 USDT,MANTRAUSDT
2026-03-09 03:00:00,Funding fee,-0.28042828 USDT,MANTRAUSDT
2026-03-09 02:00:00,Funding fee,-0.19533756 USDT,MANTRAUSDT
2026-03-09 01:00:00,Funding fee,-0.21973914 USDT,MANTRAUSDT
2026-03-09 01:00:00,Funding fee,-1.84645099 USDT,BARDUSDT
2026-03-09 00:00:00,Funding fee,-0.14714622 USDT,MANTRAUSDT
2026-03-08 23:00:00,Funding fee,-0.14388357 USDT,MANTRAUSDT
2026-03-08 22:00:00,Funding fee,-0.05745537 USDT,MANTRAUSDT
2026-03-08 21:00:00,Funding fee,-0.20968382 USDT,MANTRAUSDT
2026-03-08 21:00:00,Funding fee,-1.72213056 USDT,BARDUSDT
2026-03-08 20:00:02,Funding fee,-0.11449009 USDT,MANTRAUSDT
2026-03-08 19:00:02,Funding fee,-0.11204135 USDT,MANTRAUSDT
2026-03-08 18:00:02,Funding fee,-0.15272172 USDT,MANTRAUSDT
2026-03-08 17:00:02,Funding fee,-0.31660412 USDT,MANTRAUSDT
2026-03-08 17:00:02,Funding fee,-1.90647829 USDT,BARDUSDT
2026-03-08 16:00:02,Funding fee,-0.12221280 USDT,MANTRAUSDT
2026-03-08 15:00:01,Funding fee,-0.21650567 USDT,MANTRAUSDT
2026-03-08 14:00:01,Funding fee,-0.31703549 USDT,MANTRAUSDT
2026-03-08 13:00:02,Funding fee,-0.60445140 USDT,MANTRAUSDT
2026-03-08 13:00:01,Funding fee,-1.29914442 USDT,BARDUSDT
2026-03-08 12:00:01,Funding fee,-0.55768603 USDT,MANTRAUSDT
2026-03-08 11:00:01,Funding fee,-0.65251829 USDT,MANTRAUSDT
2026-03-08 10:00:01,Funding fee,-0.62511922 USDT,MANTRAUSDT
2026-03-08 09:00:01,Funding fee,-0.98800548 USDT,MANTRAUSDT
2026-03-08 09:00:01,Funding fee,-1.41892208 USDT,BARDUSDT
2026-03-08 08:00:01,Funding fee,-1.12497421 USDT,MANTRAUSDT
2026-03-08 07:00:01,Funding fee,-1.25352122 USDT,MANTRAUSDT
2026-03-08 06:00:00,Funding fee,-1.37147043 USDT,MANTRAUSDT
2026-03-08 05:00:01,Funding fee,-0.55855242 USDT,MANTRAUSDT
2026-03-08 05:00:01,Funding fee,-2.75137195 USDT,BARDUSDT
2026-03-08 04:00:00,Funding fee,-0.56007535 USDT,MANTRAUSDT
2026-03-08 03:00:00,Funding fee,-0.46686739 USDT,MANTRAUSDT
2026-03-08 02:00:00,Funding fee,-0.40748417 USDT,MANTRAUSDT
2026-03-08 01:00:00,Funding fee,-0.51043530 USDT,MANTRAUSDT
2026-03-08 01:00:00,Funding fee,-2.27640194 USDT,BARDUSDT
2026-03-08 00:00:00,Funding fee,-0.36302282 USDT,MANTRAUSDT
2026-03-07 23:00:00,Funding fee,-0.39146734 USDT,MANTRAUSDT
2026-03-07 22:00:00,Funding fee,-0.44093500 USDT,MANTRAUSDT
2026-03-07 21:00:00,Funding fee,-0.40701406 USDT,MANTRAUSDT
2026-03-07 21:00:00,Funding fee,-1.76556874 USDT,BARDUSDT
2026-03-07 20:00:00,Funding fee,-0.45048496 USDT,MANTRAUSDT
2026-03-07 19:00:00,Funding fee,-0.40989780 USDT,MANTRAUSDT
2026-03-07 18:00:00,Funding fee,-0.36292730 USDT,MANTRAUSDT
2026-03-07 17:00:00,Funding fee,-0.41017180 USDT,MANTRAUSDT
2026-03-07 17:00:00,Funding fee,-2.26866284 USDT,BARDUSDT
2026-03-07 16:00:00,Funding fee,-0.43432769 USDT,MANTRAUSDT
2026-03-07 15:00:00,Funding fee,-0.47165223 USDT,MANTRAUSDT
2026-03-07 14:00:00,Funding fee,-0.42795873 USDT,MANTRAUSDT
2026-03-07 13:00:00,Funding fee,-0.50803243 USDT,MANTRAUSDT
2026-03-07 13:00:00,Funding fee,-1.79498103 USDT,BARDUSDT
2026-03-07 12:00:00,Funding fee,-0.51461603 USDT,MANTRAUSDT
2026-03-07 11:00:00,Funding fee,-0.48217207 USDT,MANTRAUSDT
2026-03-07 10:00:00,Funding fee,-0.37316325 USDT,MANTRAUSDT
2026-03-07 09:00:00,Funding fee,-0.37517752 USDT,MANTRAUSDT
2026-03-07 09:00:00,Funding fee,-2.41062042 USDT,BARDUSDT
2026-03-07 08:00:00,Funding fee,-0.25166220 USDT,MANTRAUSDT
2026-03-07 07:00:00,Funding fee,-0.21979538 USDT,MANTRAUSDT
2026-03-07 06:00:01,Funding fee,-0.28667693 USDT,MANTRAUSDT
2026-03-07 05:00:01,Funding fee,-0.17730831 USDT,MANTRAUSDT
2026-03-07 05:00:01,Funding fee,-3.71883761 USDT,BARDUSDT
2026-03-07 04:00:00,Funding fee,-0.28311707 USDT,MANTRAUSDT
2026-03-07 03:00:00,Funding fee,-0.37026930 USDT,MANTRAUSDT
2026-03-07 02:00:00,Funding fee,-0.37845528 USDT,MANTRAUSDT
2026-03-07 01:00:00,Funding fee,-0.51103464 USDT,MANTRAUSDT
2026-03-07 01:00:00,Funding fee,-2.92307442 USDT,BARDUSDT
2026-03-07 00:00:00,Funding fee,-0.64503407 USDT,MANTRAUSDT
2026-03-06 23:00:00,Funding fee,-0.57687817 USDT,MANTRAUSDT
2026-03-06 22:00:00,Funding fee,-0.46220697 USDT,MANTRAUSDT
2026-03-06 21:00:00,Funding fee,-0.55872895 USDT,MANTRAUSDT
2026-03-06 21:00:00,Funding fee,-2.48230541 USDT,BARDUSDT
2026-03-06 20:00:00,Funding fee,-0.43996809 USDT,MANTRAUSDT
2026-03-06 19:00:00,Funding fee,-0.33832281 USDT,MANTRAUSDT
2026-03-06 18:00:01,Funding fee,-0.29759637 USDT,MANTRAUSDT
2026-03-06 17:00:01,Funding fee,-0.50214060 USDT,MANTRAUSDT
2026-03-06 17:00:00,Funding fee,-2.43180795 USDT,BARDUSDT
2026-03-06 16:00:00,Funding fee,-0.46189319 USDT,MANTRAUSDT
2026-03-06 15:00:00,Funding fee,-0.41099375 USDT,MANTRAUSDT
2026-03-06 14:00:00,Funding fee,-0.51596089 USDT,MANTRAUSDT
2026-03-06 13:00:00,Funding fee,-0.76024486 USDT,MANTRAUSDT
2026-03-06 13:00:00,Funding fee,-3.55752411 USDT,BARDUSDT
2026-03-06 12:00:00,Funding fee,-0.58303311 USDT,MANTRAUSDT
2026-03-06 11:00:00,Funding fee,-0.66229415 USDT,MANTRAUSDT
2026-03-06 10:00:00,Funding fee,-0.66173907 USDT,MANTRAUSDT
2026-03-06 09:00:00,Funding fee,-0.69586220 USDT,MANTRAUSDT
2026-03-06 08:00:01,Funding fee,-0.62683639 USDT,MANTRAUSDT
2026-03-06 07:00:08,Funding fee,-0.75064934 USDT,MANTRAUSDT
2026-03-06 06:00:07,Funding fee,-0.51288064 USDT,MANTRAUSDT
2026-03-06 05:00:10,Funding fee,-0.25968690 USDT,MANTRAUSDT
2026-03-06 04:00:06,Funding fee,-0.12138048 USDT,MANTRAUSDT
2026-03-06 03:00:06,Funding fee,-0.06195958 USDT,MANTRAUSDT
2026-03-06 02:00:05,Funding fee,-0.10595380 USDT,MANTRAUSDT
2026-03-06 01:00:05,Funding fee,-0.40326652 USDT,MANTRAUSDT
2026-03-06 00:00:04,Funding fee,-0.45383684 USDT,MANTRAUSDT
2026-03-05 23:00:04,Funding fee,-0.57357438 USDT,MANTRAUSDT
2026-03-05 22:00:04,Funding fee,-0.50598278 USDT,MANTRAUSDT
2026-03-05 21:00:05,Funding fee,-0.40531698 USDT,MANTRAUSDT
2026-03-05 20:00:03,Funding fee,-0.76521921 USDT,MANTRAUSDT
2026-03-05 19:00:04,Funding fee,-0.66067162 USDT,MANTRAUSDT
2026-03-05 18:00:03,Funding fee,-0.93835440 USDT,MANTRAUSDT
2026-03-05 17:00:04,Funding fee,-0.88356691 USDT,MANTRAUSDT
2026-03-05 16:00:03,Funding fee,-1.14009781 USDT,MANTRAUSDT
2026-03-05 15:00:03,Funding fee,-0.96137162 USDT,MANTRAUSDT
2026-03-05 14:00:02,Funding fee,-0.67495209 USDT,MANTRAUSDT
2026-03-05 13:00:03,Funding fee,-0.62661288 USDT,MANTRAUSDT
2026-03-05 12:00:02,Funding fee,-0.62482709 USDT,MANTRAUSDT
2026-03-05 11:00:02,Funding fee,-0.58367232 USDT,MANTRAUSDT
2026-03-05 10:00:02,Funding fee,-0.67614330 USDT,MANTRAUSDT
2026-03-05 09:00:01,Funding fee,-0.52024977 USDT,MANTRAUSDT
2026-03-05 08:00:01,Funding fee,-0.71406961 USDT,MANTRAUSDT
2026-03-05 07:00:01,Funding fee,-0.91987414 USDT,MANTRAUSDT
2026-03-05 06:00:01,Funding fee,-1.50086510 USDT,MANTRAUSDT
2026-03-05 05:00:01,Funding fee,-1.24631511 USDT,MANTRAUSDT
2026-03-05 04:00:01,Funding fee,-0.72876768 USDT,MANTRAUSDT
2026-03-05 03:00:01,Funding fee,-0.75536476 USDT,MANTRAUSDT
2026-03-05 02:00:00,Funding fee,-0.65750805 USDT,MANTRAUSDT
2026-03-05 01:00:00,Funding fee,-0.63689098 USDT,MANTRAUSDT
2026-03-05 00:00:00,Funding fee,-0.97677065 USDT,MANTRAUSDT
2026-03-04 23:00:00,Funding fee,-1.52099331 USDT,MANTRAUSDT
2026-03-04 22:00:00,Funding fee,-0.76121892 USDT,MANTRAUSDT
2026-03-04 21:00:00,Funding fee,-0.92633164 USDT,MANTRAUSDT
2026-03-04 20:00:00,Funding fee,-1.15110547 USDT,MANTRAUSDT
2026-03-04 19:00:00,Funding fee,-0.79601588 USDT,MANTRAUSDT
2026-03-04 18:00:00,Funding fee,-1.07954985 USDT,MANTRAUSDT
2026-03-04 17:00:00,Funding fee,-0.25968498 USDT,MANTRAUSDT
2026-03-04 16:00:00,Funding fee,-0.29987065 USDT,MANTRAUSDT
